pnum	cond	study	response
1	1	142.893846910447	135.571297512886
1	1	204.041222110391	65.9942421410233
1	1	10.7232882454991	48.085725903511
1	1	196.482780827209	198.382690514268
1	1	196.552078044042	209.640224520104
1	1	90.5033410806209	92.3292957209093
1	1	300.291034569964	295.787704920106
1	1	224.007134148851	219.932096337462
1	1	309.948240537196	298.812176790104
1	1	100.243529397994	112.193985186224
1	1	72.1786949504167	84.6218609279958
1	1	264.714960856363	260.756451589133
1	1	141.17815724574	207.422353625082
1	1	213.653780529276	214.13721436473
1	1	224.171211495996	221.546656217972
1	1	307.299859207124	312.63982707361
1	1	0.604922622442245	6.03382705222244
1	1	187.669168487191	190.100911994645
1	1	162.813023300841	165.242116580532
1	1	358.360520778224	353.920717667738
1	1	145.899267056957	212.441791214371
1	1	243.403560910374	235.423899057677
1	1	241.010387744755	244.411618516405
1	1	149.782958272845	223.722194917874
1	1	54.177696146071	55.2295442364819
1	1	333.114820858464	8.26638130086415
1	1	1.62414687685668	3.7060844786166
1	1	327.655767370015	0.715646992514826
1	1	154.230556190014	152.411980987789
1	1	144.892094889656	203.176919536079
1	1	202.777282828465	340.76305587776
1	1	98.5744035523385	12.9900545629423
1	1	145.417368728667	181.926614390686
1	1	67.1323450002819	60.9136430834587
1	1	135.952407829463	217.524604003698
1	1	326.992099508643	10.0353178102523
1	1	2.74534980766475	215.317045227563
1	1	18.6185274738818	359.69701336235
1	1	249.069727705792	255.998318281013
1	1	60.1215370371938	252.072498919442
1	1	19.0994167886674	345.275040473789
1	1	179.77848758921	220.572074868639
1	1	346.942632598802	356.846824185232
1	1	220.630157226697	222.461720117942
1	1	202.916086139157	205.467393244869
1	1	174.859321871772	206.315914313656
1	1	147.062240783125	160.189177573696
1	1	324.394178492948	3.13700709758441
1	1	199.077928606421	199.213719056457
1	1	293.915462633595	291.795907594433
1	1	310.532246371731	291.404839478251
1	1	303.018974745646	286.146648053225
1	1	180.432352731004	209.533809125292
1	1	193.735718177631	200.622130992731
1	1	348.819311885163	346.629042886198
1	1	292.096545053646	306.617401612007
1	1	263.18241535686	277.700694213262
1	1	339.134846627712	359.597946488066
1	1	216.402030391619	208.1134475707
1	1	226.852283254266	222.318692518774
1	1	234.510020250455	218.094842289294
1	1	256.476787207648	260.206651063903
1	1	202.780779255554	116.352680101991
1	1	191.161912651733	216.774319362225
1	1	222.612127130851	215.331050922041
1	1	38.1653196271509	23.8901612437014
1	1	254.985772864893	263.51100788947
1	1	150.040943110362	210.881656382367
1	1	339.455191651359	357.865739055142
1	1	60.5626745056361	354.451522241142
1	1	164.362025661394	205.079790535482
1	1	213.690960975364	217.854527830652
1	1	325.827868329361	332.811990484478
1	1	114.929965697229	213.675837562627
1	1	35.7974657602608	24.4604468124239
1	1	326.355017786846	10.0909136328846
1	1	35.5133936740458	46.5136517227285
1	1	329.315393166617	37.2793796192855
1	1	186.565354820341	212.81757484488
1	1	235.911967819557	240.079198307743
1	1	350.453339936212	350.905961976732
1	1	0.467040231451392	242.859676983207
1	1	48.3422002382576	352.149598873026
1	1	260.50671572797	249.430666456333
1	1	212.82837680541	348.100822636396
1	1	340.157234799117	0.0264597395482401
1	1	300.288158822805	297.971344077511
1	1	196.977211693302	216.207429351566
1	1	241.757012978196	234.478381126484
1	1	91.2897526938468	356.74230594188
1	1	82.3402288835496	352.562912306834
1	1	151.627621036023	105.730766700581
1	1	180.129497637972	206.822498878373
1	1	206.287354985252	214.823049534023
1	1	168.39955505915	199.807724156769
1	1	312.222196971998	315.721628013943
1	1	296.782991336659	285.219971766096
1	1	83.3811893407255	79.1544530102709
1	1	69.7475040704012	153.252135124058
1	1	270.708984034136	277.472556213023
1	1	318.669347260147	284.931643550643
1	1	340.158933727071	343.381974903069
1	1	131.439715884626	130.383616542546
1	1	34.198433496058	124.815606102347
1	1	127.662633340806	130.470005502716
1	1	158.603243445978	214.962396534311
1	1	140.412803236395	147.280272078803
1	1	270.731900660321	297.223148594765
1	1	38.8644737843424	22.8177614361671
1	1	6.16646775975823	359.651709019551
1	1	220.104172518477	213.193722820974
1	1	307.447838773951	275.230627665808
1	1	275.556542566046	282.263229964348
1	1	282.097809808329	278.465773031675
1	1	84.9460490886122	319.069771645591
1	1	202.594925053418	29.8628752212971
1	1	208.38020070456	202.520549805217
1	1	169.522019969299	173.193856448665
1	1	333.154334239662	0.213067968390891
1	1	49.1982668079436	161.920621935278
1	1	233.427080875263	233.972133521486
1	1	218.349952837452	231.72444036119
1	1	4.71785017289221	354.431635165027
1	1	205.466178171337	212.654269034555
1	1	66.9972946867347	350.475990416638
1	1	172.218868648633	186.562255232839
1	1	116.709548430517	229.933204859445
1	1	263.343620477244	298.652073666334
1	1	143.398570334539	139.251514681734
1	1	271.916402131319	38.1526188645512
1	1	347.71976351738	95.6940104719251
1	1	264.946188898757	278.392794370716
1	1	346.022547148168	355.026701694211
1	1	101.978029478341	105.766586896091
1	1	147.228234736249	208.042358788228
1	1	305.589137496427	305.172159019858
1	1	160.584246497601	220.092315455343
1	1	300.501495776698	293.501770175579
1	1	352.491300450638	212.833191063926
1	1	331.817857213318	312.752992379387
1	1	203.583100726828	205.792853210652
1	1	20.2623603399843	207.026458563001
1	1	191.294023431838	206.853156062537
1	1	61.5906955674291	318.870654171333
1	1	88.3972952049226	240.892949402332
1	1	162.638349384069	221.958322313928
1	1	255.128501253203	256.06304735905
1	1	173.972235554829	176.261483071936
1	1	209.655914381146	202.200048802637
1	1	56.4336342550814	247.217931356281
1	2	0.328818876296282	3.76049142265374
1	2	36.2908110860735	353.543153252288
1	2	122.836474645883	58.5536420345306
1	2	312.470954172313	316.621465580229
1	2	93.2589441351593	86.1656094085037
1	2	209.998672446236	294.199655599584
1	2	316.460282430053	1.20981370864435
1	2	328.208656897768	358.282912008613
1	2	341.999434707686	330.995980945082
1	2	34.2816952988505	358.79787161664
1	2	187.201382098719	278.550220373038
1	2	164.757286543027	179.351597583929
1	2	218.865691758692	185.723580797645
1	2	239.275960670784	224.361776746809
1	2	282.802035352215	277.572075859502
1	2	223.481585467234	211.724918438859
1	2	151.327490480617	225.173756320231
1	2	124.465149762109	220.233585765956
1	2	177.911301730201	221.505721188085
1	2	214.795157108456	209.214605945499
1	2	46.1587745603174	9.22394247617942
1	2	294.818699453026	295.622216296427
1	2	32.9320555832237	26.9821704944054
